,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
160,Hatfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,054,496.52","4,217,986.08",0.00,"4,217,986.08",0,0,0,0
161,Haverhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,459,746.23","29,838,984.91",0.00,"29,838,984.91",0,0,0,0
162,Hawley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"890,551.46","3,562,205.86",0.00,"3,562,205.86",0,0,0,0
163,Hingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,424,953.44","13,699,813.78",0.00,"13,699,813.78",0,0,0,0
164,Heath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,042,016.45","4,168,065.79",0.00,"4,168,065.79",0,0,0,0
165,Hinsdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"802,507.73","3,210,030.91",0.00,"3,210,030.91",0,0,0,0
166,Holyoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,059,359.50","20,235,512.88","16,042.75","20,251,555.63",0,0,0,0
167,Holden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,144,624.65","12,578,498.59",0.00,"12,578,498.59",0,0,0,0
168,Hubbardston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000,104.92","8,000,419.68",0.00,"8,000,419.68",0,0,0,0
169,Hudson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,997,973.70","11,991,894.82",0.00,"11,991,894.82",0,0,0,0
170,Hull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,655,298.74","6,621,194.98",0.00,"6,621,194.98",0,0,0,0
171,Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"801,593.36","3,206,373.46",0.00,"3,206,373.46",0,0,0,0
