,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential, city_roads_expected_annual_cost ,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
214,NEEDHAM,,,,,,,,,,,,,,,13112168.24,15948309.17,0,15948309.17,,,,
215,MONSON,,,,,,,,,,,,,,,8065410.557,9809945.904,0,9809945.904,,,,
216,MILTON,,,,,,,,,,,,,,,11148914.66,13560406.99,0,13560406.99,,,,
217,MONROE,,,,,,,,,,,,,,,1258082.885,1530204.192,0,1530204.192,,,,
218,NEW BRAINTREE,,,,,,,,,,,,,,,3939887.548,4792078.896,0,4792078.896,,,,
219,NEW MARLBOROUGH,,,,,,,,,,,,,,,5737423.662,6978419.184,0,6978419.184,,,,
220,MONTGOMERY,,,,,,,,,,,,,,,2301728.812,2799589.056,0,2799589.056,,,,
221,MONTEREY,,,,,,,,,,,,,,,3158210.364,3841326.192,0,3841326.192,,,,
222,NEWTON,,,,,,,,,,,,,,,32142340.2,39080007.65,402014.976,39482022.62,,,,
223,NANTUCKET,,,,,,,,,,,,,,,8300900.013,10093578.53,76538.88,10170117.41,,,,
224,NEWBURYPORT,,,,,,,,,,,,,,,7199609.66,8756873.664,0,8756873.664,,,,
225,NAHANT,,,,,,,,,,,,,,,1653581.15,2011248.096,0,2011248.096,,,,
226,NEW SALEM,,,,,,,,,,,,,,,2547895.734,3099001.488,0,3099001.488,,,,
227,NEWBURY,,,,,,,,,,,,,,,4711677.58,5730805.872,0,5730805.872,,,,
228,MOUNT WASHINGTON,,,,,,,,,,,,,,,1247350.098,1517149.92,0,1517149.92,,,,
229,MIDDLETON,,,,,,,,,,,,,,,4536135.212,5517120.576,4752,5521872.576,,,,
230,MILFORD,,,,,,,,,,,,,,,12438989.71,15129523.2,0,15129523.2,,,,
231,OAK BLUFFS,,,,,,,,,,,,,,,2820354.599,3430392.768,0,3430392.768,,,,
232,ORANGE,,,,,,,,,,,,,,,7255840.02,8825266.56,0,8825266.56,,,,
233,MIDDLEBOROUGH,,,,,,,,,,,,,,,13702481.53,16666306.27,0,16666306.27,,,,
234,MIDDLEFIELD,,,,,,,,,,,,,,,2755466.469,3351469.44,0,3351469.44,,,,
235,NORWOOD,,,,,,,,,,,,,,,13149265.9,15993430.99,0,15993430.99,,,,
236,MILLBURY,,,,,,,,,,,,,,,6622782.247,8055279.408,0,8055279.408,,,,
237,MILLIS,,,,,,,,,,,,,,,4805905.063,5845414.608,0,5845414.608,,,,
238,MILLVILLE,,,,,,,,,,,,,,,1658577.687,2017325.376,0,2017325.376,,,,
239,OXFORD,,,,,,,,,,,,,,,8006754.424,9738602.544,0,9738602.544,,,,
240,OTIS,,,,,,,,,,,,,,,2826883.089,3438333.36,0,3438333.36,,,,
241,WARE,,,,,,,,,,,,,,,6920186.464,8417011.68,0,8417011.68,,,,
242,PALMER,,,,,,,,,,,,,,,9131656.806,11106819.5,0,11106819.5,,,,
243,NEW ASHFORD,,,,,,,,,,,,,,,689153.1384,837568.512,17740.8,855309.312,,,,
244,PEABODY,,,,,,,,,,,,,,,20915066.73,25435447.49,96318.816,25531766.3,,,,
245,NORTHAMPTON,,,,,,,,,,,,,,,14620840.13,17782946.02,9820.8,17792766.82,,,,
246,NORTHBRIDGE,,,,,,,,,,,,,,,8475828.455,10308482.45,17925.6,10326408.05,,,,
